country,activity,injury,fatal
south africa,spearfishing,calf bitten,n
usa,spearfishing,calf bitten,n
australia,washing sand off a speared fish,heel bitten,n
usa,surfing,minor puncture wounds,n
new zealand,surfing,puncture to left hand,n
indonesia,surfing,lacerations to forearm,n
fiji,diving,minor injuries to left leg and hand,n
usa,"standing, holding shark pup",minor laceration to shoulder from captive shark provoked incident,n
mexico,swimming,lower leg & foot bitten,n
australia,surfing,severe injury to left forearm,n
mexico,swimming,right foot bitten,n
fiji,diving  fishing,"left forearm severely bitten, surgically amputated",n
australia,wakeboarding,"severe injuries to head, neck, shoulder & upper left arm",n
egypt,nan,"apparent drowning, and subsequent scavenging by 16' tiger shark",nan
australia,surfing,"no injury, surboard broken",n
australia,fishing,lacerations to right hand by hooked shark provoked incident,n
new caledonia,spearfishing,lacerations to left forearm,n
reunion,surfing,left leg severed at the knee,n
australia,diving for abalone,fatal,y
australia,fishing,lacerations to calf by hooked shark provoked incident,n
australia,snorkeling,arm bitten,n
mexico,shark fishing on the ricardo astorga,left foot bitten provoked incident,n
south africa,surf fishing,right leg bitten,n
mexico,swimming,"leg, forearm & hand severely bitten",n
mexico,shark fishing on the don agustín-vi,left eg bitten provoked incident,n
bahamas,scuba diving,arm bitten,n
australia,swimming,lacerations to both legs,nan
south africa,surfing,fatal,y
mexico,attempting to fix motor,bitten on leg and groin,n
australia,fishing,"no injury, shark nudged boat and bit propeller",n
usa,body boarding,"lacerations to his lower left leg, calf, foot & ankle",n
fiji,surfing,lacerations to  foot,n
usa,surfing,lacerations to right foot,n
egypt,snorkeling,fatal,y
indonesia,surfing,lacerations to right hand,n
egypt,snorkeling,both arms severely bitten,n
egypt,snorkeling,lacerations to right leg,n
egypt,snorkeling,"foot severed, right forearm severed, lacerations to left hand defense wounds",n
egypt,snorkeling,foot and arm bitten,n
samoa,fishing,serious wounds to chest,n
australia,swimming,death may have been due to drowning,nan
usa,snorkeling,head bitten by netted shark provoked incident,n
dominican republic,diving,fatal,y
indonesia,surfing,hand bitten,n
australia,fishing,no injury to occupant shark rammed bottom of the boat,n
australia,snorkeling,torso and left buttock bitten,n
australia,spearfishing,"no injury, shark head-butted diver's thigh",n
usa,surfing,no injury to surfer,n
azores,fishing,provoked incident,n
usa,scuba diving,"no injury to diver, shark bit his video camera",n
australia,kite surfing,lacerations to lower right leg,n
usa,body boarding,fatal,y
egypt,snorkeling,multiple lacerations to left leg and foot,n
australia,surfing,foot bitten,n
bahamas,snorkeling,calf bitten,n
bahamas,surfing,bitten between left ankle & knee,n
south africa,surfing,3 lacerations to foot,n
usa,surfing,"no injury, surfboard rammed",n
usa,surfing,bite to left ankle and knee,n
south africa,swimming,fatal,y
australia,surfing,lacerations and puncture wounds to leg and foot,n
usa,swimming,lacerations to left wrist,n
tonga,swimming   whale watching,puncture wounds to right foot,n
usa,surfing,"no injury, shark charged surfboard",n
usa,surfing,lacerations to right  hand,n
usa,surfing,left thigh bitten,n
solomon islands,nan,lacerations to face and neck,n
bahamas,swimming after boat became disabled,"his partial remains were recovered from a 12' tiger shark on september 5, 2010 cause of death was thought to be drowning",nan
usa,boogie boarding,minor injuries to foot,n
australia,surfing,fatal,y
usa,kayak fishing,"no injury, kayak bitten",n
australia,fishing,leg bitten by hooked shark provoked incident,n
south korea,swimming,lacerations to left lower leg,n
australia,surfing,left foot bitten,n
usa,surfing,left foot bitten,n
malta,windsurfing,"no injury, sail bitten",n
usa,swimming,minor abrasions to legs when she was lifted on the back of a large marine animal,nan
usa,kayaking,"no injury, kayak bitten",n
usa,standing,lacerations to forearm,n
usa,standing,lacerations to right lower leg,n
usa,surfing,left foot bitten,n
usa,swimming,minor lacerations to left calf,n
usa,swimming,lacerations to right forearm,n
usa,surfing,minor lacerations to right foot,n
spain,swimming,lacerations to left foot when he stepped on the shark provoked incident,n
usa,fishing,leg bitten,n
usa,fishing,small laceration to forearm from netted shark  provoked incident,n
south africa,snorkeling,left leg bitten,n
usa,fishing,laceration to right bicep by hooked shark provoked incident,n
usa,surfing,laceration to left foot,n
usa,stand-up paddleboarding,"no injury, board bumped by shark",n
usa,surfing,lacerations to right foot,n
usa,boogie boarding,laceration to leg,n
usa,swimming,laceration to left foot,n
vietnam,swimming,laceration to left foot,n
usa,boogie boarding,lacerations to left calf and foot,n
australia,surfing,severe laceration to right knee,n
usa,surfing,lacerations to left foot,n
usa,fishing,laceration to left calf by hooked shark provoked incident,n
vietnam,rescuing,minor laceration to leg,n
vietnam,swimming,severe lacerations to left foot,n
australia,surfing,superficial lacerations to lower left leg,n
madagascar,scuba diving,lacerations to arm & chest,n
usa,wading,minor puncture wounds to right ankle,n
usa,measuring sharks,arm bitten provoked incident,n
usa,surfing,"no injury, surfboard bitten",n
south africa,surfing,both feet bitten,n
egypt,swimming  treading water,lacerations to left ankle and foot,n
reunion,surfing,"no injury, board bitten",n
new zealand,swimming,bruised but otherwise unhurt,n
south africa,surfing,lacerations to right leg,n
fiji,scuba diving,fatal,y
australia,snorkeling,lacerations to legs & buttocks,n
australia,surfing,"minor injury, lacerations to left lower leg",n
new zealand,spearfishing,"no injury, shark bit his speargun after he used it to prod the shark provoked incident",n
australia,body boarding,"no injury, shark & board collided",n
usa,surf fishing  wading,leg bitten while trying to free a hooked shark provoked incident,n
guam,spearfishing free diving,shark bites were post-mortem,nan
usa,kite boarding,fatal,y
new zealand,boogie boarding,stepped on shark provoked incident,n
brazil,surfing,foot bitten,n
australia,surfing,"no injury, surfboard bitten",n
united arab emirates uae,surfing,laceration to bottom of foot,n
australia,surfing,lacerations to right hand,n
south africa,standing,fatal,y
australia,snorkeling,2 sets of minor lacerations below her right knee,n
vietnam,nan,minor injuries,n
vietnam,nan,right wrist bitten,n
vietnam,bathing,left arm bitten twice,n
usa,spearfishing,lacerations to  arm,n
south africa,surfing,"no injury, reportedly knocked of his board by a shark",n
south africa,wading,lacerations to  left foot,n
australia,swimming,lacerations to lower left leg after stepping on the shark                 provoked incident,n
mozambique,swimming,multiple lacerations to right torso & arm defense wounds on  hands,n
australia,kayaking,"no injury to occupants, kayak bumped by shark",n
australia,spearfishing,lacerations to hand & forearm,n
south africa,paddling on kneeboard,fatal,y
south africa,surfing,"minor lacerations to left leg nitially reported as a shark bite, but involved a barracuda",nan
new zealand,swimming to shore from capsized kayak,fatal,y
australia,surfing,laceration to big toe,n
australia,rowing,no injury to occupants; shark bit steering oar,n
usa,diving,lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  provoked incident,n
usa,surfing,puncture wounds to right foot,nan
usa,wading,left foot bitten,n
usa,fishing,puncture wounds and minor lacerations to dorsal surface of his left hand,n
usa,surfing,foot bitten,n
usa,surfing,foot bitten,n
usa,surfing,foot bitten,n
australia,kayaking,ankle bitten,n
usa,surfing,"no injury, board broken in half",n
australia,kayaking,"no injury, shark bit kayak",n
mozambique,spearfishing,left ankle & foot bitten,n
australia,paddle-boarding,"no injury, shark bit rear of paddleboard",n
usa,surfing,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",n
usa,surfing,bitten on upper right thigh & right ankle,n
panama,wading,arm & torso bitten,n
scotland,diving,15-20 puncture wounds to arm by captive shark  provoked incident,n
australia,diving,severe lacerations to lower right leg,n
usa,surfing,laceration to shin of left leg,n
united kingdom,fishing,injury to forearm from shark's spine provoked incident,n
usa,swimming,laceration to right foot,n
vietnam,nan,lower right leg bitten,n
somalia,fishing,arm bitten provoked incident,n
brazil,nan,cause of death was drowning; his remains were scavenged by sharks,y
usa,swimming,fatal,y
brazil,"swimming, attempting to rescue a girl  believed to be drowning",fatal,y
nevis,swimming,death was due to drowning two days later his remains were recovered from a 12' tiger shark,nan
solomon islands,fishing,injuries to face & neck provoked incident,n
usa,surfing,no injury,n
south africa,surfing,fatal,y
usa,swimming,puncture wounds to left foot & calf,n
south africa,body boarding,"no injury, shark bit bodyboard",n
usa,swimming,puncture marks on left foot,n
usa,surfing,"no injury, surfboard bitten",n
usa,wade fishing,right ankle & foot bitten,n
bahamas,spearfishing,lacerations to calf,n
australia,surfing,left forearm grazed & puncture marks in wetsuit,n
vietnam,swimming,foot bitten,n
kenya,washing his feet,fatal,y
usa,wading,lacerations to anterior left lower leg,n
spain,swimming,laceration to left foot,nan
usa,swimming,laceration to left foot,n
usa,swimming,laceration to lower right leg,n
vietnam,swimming,severe bite to right leg,n
bahamas,spearfishing,leg bitten by shark that had been shot in the head by another diver provoked incident,n
usa,paddle-surfing,"no injury, shark collided with surfer & board",n
south africa,surfing,leg bitten,n
usa,boogie boarding,right ankle bitten,n
usa,swimming,thigh injured by hooked shark provoked incident,n
australia,surfing,2-inch laceration to upper left arm,n
usa,surfing,puncture wounds to foot,nan
usa,crawling,2-inch laceration to upper left arm,nan
vietnam,fishing for sharks,hand bitten by hooked shark provoked incident,n
egypt,scuba diving,lacerations to left hand,n
egypt,scuba diving,3 cm laceration to shoulder,n
egypt,snorkeling,fatal,y
taiwan,fishing,lacerations to knee & left lower leg by electrocuted captive shark provoked incident,n
usa,swimming,right foot bitten,n
usa,surfing,lacerations to left leg & foot,n
usa,surfing,lacerations to right foot,n
usa,surfing,lacerations to right hand,n
guam,spearfishing,speared shark bit his forearm provoked incident,n
bahamas,spearfishing,lacerations to right forearm after he poked the shark with his spear provoked incident,n
usa,nan,multiple lacerations to right foot & ankle,n
usa,surfing,no injury,n
usa,surfing,3 puncture wounds to posterior right ankle,n
philippines,swimming,legs bitten,n
usa,surfing,left foot bitten,n
usa,surfing,laceration to forearm,n
usa,spearfishing,missing,nan
australia,surf skiing,"no injury, catapulted into the water & ski damage",n
south africa,swimming,body not recovered,nan
usa,spearfishing,shark struck him but the diver was not injured,n
usa,wading,lacerations to right foot and ankle,n
south africa,fishing,calf bitten while helping angler measure the shark during fishing competition provoked incident,n
south africa,surfing,fatal,y
australia,surfing,"laceration to right foot, puncture wounds to calf",n
australia,surfing,"no injury, shark damaged surfboard",n
australia,surfing,"no injury, shark bit nose of surfboard",n
usa,surfing,minor bite to ankle,n
malaysia,feeding fish,minor injury,n
usa,swimming,"minor injury, bite chest and left calf",n
australia,wading,thigh bitten when he trod on the shark provoked incident,n
new caledonia,surfing,fatal,y
south africa,fishing,lacerations to arm and 2 fingers by hooked shark provoked incident,n
new zealand,fishing,"no injury to occupants, shark bit propeller",n
australia,surfing,lacerations to leg,n
australia,fishing,severe laceration to finger,n
australia,surfing,"no injury to surfer, but the nose of his board was broken",n
australia,surfing,severe injury to hand,n
australia,"diving, but on the surface when bitten by the shark",severe injuries to right hand & right thigh right hand  surgically amputated & his right leg a week later,n
usa,air disaster,it is probable that all 5 passengers died on impact the body of one was scavenged by a shark,y
australia,surfing,"no injury, surfboard dented",n
australia,surfing,"no injury, flung from surfboard by the shark",n
azores,fishing,left forearm bitten provoked incident,n
brazil,nan,probable drowning with post-mortem bites,nan
cuba,spearfishing,severe lacerations to lower left leg,n
new zealand,fishing,"no injury to occupant, shark removed small auxiliary outboard motor",n
australia,swimming,hand injured,n
south africa,swimming,fatal,y
brazil,swimming,"drowned, body scavenged by shark",nan
australia,fishing,"no injury to occupants, shark bit propeller",n
new zealand,surfing,"no injury, bumped off board by the shark",n
south africa,nan,fatal,y
australia,snorkeling,puncture wounds to right calf,n
australia,surfing,severe lacerations to right leg,n
australia,surfing,left thigh severely bitten,n
new zealand,fishing,"no injury to occupants, shark hit boat & bit outboard motor",n
ecuador,surfing,right lower leg bitten & defense wounds to hand,n
new zealand,swimming,posterior thigh bitten,n
cuba,spearfishing,lacerations to right calf,n
australia,crabbing,"reports said a shark attacked the dinghy, but vickery said it did not",nan
australia,yacht race,no injury to occupants -  shark became entangled in aft rudder,n
australia,boogie boarding,"no injury, shark tore his swim fin",n
australia,kayaking,"no injury, shark struck kayak, catapulting him into the water",n
australia,snorkeling,fatal,y
usa,kayaking,"no injury, shark struck paddle",n
new zealand,fishing,lacerations to left calf and ankle,n
south africa,fishing,"lacerations to knees, thigh and hip by hooked shark provoked incident",n
australia,fishing,shark bit boats sea anchor,n
mozambique,spearfishing,fatal,y
egypt,scuba diving,lacerations to fingers,n
philippines,sinking of the cargo ship mark jason,"of the 20 crew, 4 were bitten by shark none of their iinjuries were life-threatening",n
ecuador,nan,leg bitten,n
australia,fishing,"no injury to occupant, shark bit dinghy & motor",n
taiwan,fishing boat swamped in storm,fatal,y
philippines,fishing,torso & righ arm bitten fatal,y
australia,scuba diving,small laceration to head from captive shark,n
new caledonia,spearfishing,legs bitten,n
australia,fishing,right leg injured by hook and hooked shark provoked incident,n
australia,surfing,"no injury, board damaged",n
usa,fishing,lacerations,n
croatia,spearfishing,calf bitten,n
usa,surfing,small puncture wounds to the heel of left foot,n
usa,surfing,right foot bitten,n
australia,swimming,right hand lacerated by netted shark provoked incident,n
usa,swimming,lacerations to foot,n
usa,surfing,bitten on right thigh & calf,n
usa,surfing,"no injury to surfer, board bitten",n
australia,surfing,shark became tangled in his surfboard leash the surfer was not injured,n
usa,surfing,minor injury to foot,n
usa,surfing,minor injury to foot,n
usa,surfing,shark bumped right ankle,n
usa,surfing,right hand bitten,n
australia,surfing,"no injury, bumped off board by the shark",n
usa,swimming,death was probably due to drowning,nan
england,fishing,wrist bitten by hooked shark provoked incident,n
usa,surfing,superfical cut to left ankle,n
usa,surfing,lacerations to lower left leg,n
usa,"swimming, towing surfboard",minor injury to left foot,n
usa,surfing,calf bitten,nan
usa,swimming,3 lacerations to forearm,n
usa,nan,minor injuries,nan
usa,treading water,severe lacerations to left foot,n
usa,wading,puncture wounds & 3-inch laceration to right calf,n
usa,diving,"no injury, shark grabbed his bag of fish",n
australia,surfing,"no injury, surfboard leash severed",n
south africa,nan,lacerations to fingers,n
panama,swimming or surfing,5 lacerations to left foot,n
mexico,swimming,3 puncture wounds to toe,n
usa,swimming,minor injury,n
usa,surfing,right foot bitten,n
usa,snorkeling,forearm bitten,n
usa,wading,minor lacerations to  toe,n
usa,wading,lacerations to dorsum of right foot,n
usa,surfing,foot bitten after he stepped on the shark provoked incident,n
usa,wading,lacerations to lower left leg,n
egypt,diving,leg severed,n
usa,body surfing,"bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin",nan
usa,surfing,laceration to foream,n
usa,swimming,lacerations to  right foot,n
usa,nan,lacerations to right foot,n
united kingdom,rowing an inflatable dinghy,shark leapt into & damaged the dinghy but no injury to occupants,n
usa,wading,probable drowning with post-mortem bites,nan
bahamas,spearfishing,lacerations to calf,n
south africa,surf skiing,"no injury, ski bitten",n
south africa,spearfishing free diving,no injury,n
usa,surfing,minor laceration to foot,n
usa,swimming,lacerations to hand,n
brazil,surfing,"no injury, board bitten",n
usa,kayaking,"no injury shark bumped kayak, flinging her into the  water",n
usa,wading,lacerations to lower right calf,n
brazil,surfing,laceration to left leg & foot,n
usa,body surfing,lacerations & abrasions to right hand,n
scotland,fishing,no injury to occupants; shark struck their boat,n
usa,body surfing,foot bitten,n
brazil,swimming,"hand severed, buttocks bitten",n
usa,surfing,biceps & lower arm bitten,n
bahamas,sea disaster,boat capsized in squall 2 bodies scavenged  by sharks,n
mexico,surfing,lacerations to right forearm and hand,n
mexico,surfing,fatal,y
fiji,night diving,fatal,y
australia,swimming,severe lacerations to left leg,n
new caledonia,fishing,lower legs bitten,n
usa,wading,2 inch laceration to left lower calf,n
south africa,fishing,leg bitten by shark taken aboard japanese trawler provoked incident,n
mexico,surfing,fatal    severe bite to right thigh,y
usa,surfing,3-inch laceration to dorsal surface of left foot,n
usa,surfing,calf bitten,n
new caledonia,swimming,lacerations to left foot,n
usa,surfing,puncture wounds to right foot                  provoked incident,n
usa,swimming,fatal,y
usa,surfing,cuts & punctures to right foot,n
australia,nan,nan,unknown
south africa,free-diving,"as he pushd the shark away from his camera, his finger was cut on a tooth",nan
mexico,swimming,probable drowning with post-mortem bites,nan
australia,surfing,2 puncture wounds to leg,nan
usa,surfing,puncture wounds to right foot,n
fiji,spearfishing,left forearm bitten,n
usa,wading,shin bitten,n
usa,surfing,foot bitten,n
australia,body boarding,fatal,y
usa,walking out of the water after surfing,right foot & ankle bitten,n
south africa,fishing from surfski,right leg bitten,n
usa,surfing,foot bitten,n
usa,boogie boarding,right foot bitten,n
usa,walking out of the water after surfing,three small lacerations punctures to right foot,n
usa,wading,two 3-inch lacerations to right ankle,n
usa,jet skiing,minor injury,n
usa,surfing,"no injury to surfer, surfboard bitten by the shark",n
bahamas,diving,"leg bitten, fatal",y
french polynesia,spearfishing,lacerations to face,n
usa,surfing,lacerations to foot,n
australia,surfing,abrasions to elbow; collided with shark,n
usa,surf-skiing,lacerations to foot,n
japan,diving,"no injury, captive shark attempted to bite diver's arm provoked incidentt",nan
south africa,surf-skiing,"no injury to surf-skiier, shark holed ski",n
australia,accidentally stood on hooked shark's tail before attempting to gut it,laceration to left knee provoked incident,n
new zealand,wading,"stingray envenomation, not a shark",nan
new zealand,attempting to chase shark out to sea,"no injury to occupants, pontoon punctured",n
usa,surfing,left foot bitten,n
usa,fishing for snapper,minor injury to hand by hooked shark   provoked incident,n
mexico,surfing,leg bitten,n
ecuador,surfing,lacerations & puncture wounds  to left thigh,n
british virgin islands,scuba diving,shark bites were post-mortem,nan
australia,surfing,severe lacerations to right buttock,n
australia,swimming,lacerations to hand,n
australia,swimming,lacerations to left forearm,nan
usa,surfing,"no injury, shark bit surfboard",n
new zealand,surfing,"no injury, shark bit surfboard & severed leash",n
brazil,removing fish from a trap,20 cm injury to left foot,n
australia,fishing,minor injury to finger by netted shark provoked incident,n
australia,surfing,"no injury, teethmarks in board & torn wetsuit",n
south africa,surfing,lacerations to feet,n
usa,surfing,cut to right knee,n
usa,surfing,lacerations to right leg,n
south africa,surfing,lacerations to thigh,n
mexico,shark diving,white shark breached cage no injury to occupants,nan
usa,floating,lacerations to left lower leg,n
australia,surf-skiing,small laceration to wrist,n
australia,spearfishing,laceration to calf,n
usa,surfing,4 scratches on left hand,n
usa,surfing,severe lacerations to right hand,n
usa,surfing,puncture wound to foot,n
philippines,"the 426-ton cargo ship mia, laden with cement, capsized in heavy seas","fatal        only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",y
new caledonia,swimming,fatal,y
bahamas,spearfishing,thigh bitten,n
usa,surfing,"no injury to surfer, surfboard bitten",n
egypt,swimming,"severe lacerations to lower left leg, ankle and foot",n
usa,scuba diving,shark involvement prior to death unconfirmed,nan
usa,surfing,laceration to foot,n
usa,surfing,small lacerations to bottom of right big toe,n
solomon islands,spearfishing,left thigh bitten,n
usa,wading,laceration to right heel,n
usa,surfing,"no injury, surfboard bitten",n
usa,snorkeling,"minor injury, shark latched onto his abdomen",n
usa,wading,puncture wounds & 2-inch laceration to calf,n
usa,wading,laceration to right big toe,n
usa,standing,lacerations to left calf and both feet,n
usa,jumping,tiny punctures to arm,n
usa,swimming,"3"" laceration to left forearm",n
usa,body boarding,laceration to right heel,n
usa,surfing,lacerations to thigh & torso,n
usa,surfing,left hand  bitten,n
usa,surfing,6 lacerations to left hand,n
usa,diving,minor injury from captive shark provoked incident,n
usa,fishing,forearm bitten by hooked shark provoked incident,n
usa,swimming,torso bitten,n
usa,surfing,foot bitten,n
usa,playing,right calf bitten,n
usa,floating near boat & observing bioluminesce,puncture wounds to torso,n
usa,swimming,"minor injury, small lacerations to right foot",n
usa,walking out of the water after surfing,"minor injury, lacerations to left ankle & foot",n
usa,swimming,lacerations to right foot,n
usa,boogie boarding,lacerations to lower leg & ankle,n
usa,jumped into the water,lacerations to arm,n
usa,surfing,minor injury to shoulder,n
usa,surfing,"no injury, shark bit surfboard",n
usa,surf paddling,"no injury, surfboard bumped by shark for 20 minutes",n
usa,kayak fishing,"no injury, kayak bitten",n
usa,snorkeling,left calf severely bitten,n
australia,wading,calf bitten,n
usa,swimming,right calf bitten,n
norway,scuba diving,provoked incident           no injury diver touched 'dead' shark; shark bit his equipment-covered arm,n
usa,swimming,foot injured shark involvment uncomfirmed,nan
usa,wading,lacerations to right thigh & left foot,n
bahamas,spearfishing,"lacerations to thumb, ring and pinky fingers of right hand",n
usa,surfing,right foot bitten,n
reunion,body boarding,minor injuries to thigh & knee,n
senegal,murder,nan,nan
usa,removing hook from shark,lacerations to right  hand by hooked shark provoked incident,n
usa,swimming,hand bitten,n
usa,surfing,6 to 8 puncture wounds to right hand,n
usa,surfing,"no injury, board damaged",n
usa,surfing,superficial injuries to upper leg may have been caused by surfboard fin,nan
usa,swimming,right foot bitten,n
australia,surfing,lacerations to leg & ankle,n
usa,wading,lacerations to lower leg,n
usa,reviving a sedated shark,left shin bitten by captive shark provoked incident,n
england,fishing,bitten on the nose by a hooked shark provoked incident,n
australia,wading,left heel & calf bitten,n
australia,surfing,"no injury, shark's fin caught his leg",n
usa,surfing,knee bitten,n
seychelles,snorkeling,no injury,n
australia,swimming,shark involvement prior to death unconfirmed,nan
usa,snorkeling,right foot bitten,n
usa,swimming,circular bite on left thigh,n
turks & caicos,sea disaster,some of the bodies recovered had been bitten by sharks,y
bahamas,shark tagging,lacerations to right upper arm by captive shark provoked incident,n
australia,swimming  jumping off a jetty,lower leg & foot injured,n
usa,body boarding,left foot bitten,n
usa,surfing,lacerations to left index finger & thumb,n
usa,fishing,"no injury to occupants, shark holed the transom-mounted livewell",n
new caledonia,surfing,left foot bitten,n
usa,playing on a sandbar,lacerations & puncture wounds to right calf,n
usa,surfing,lacerations to right ankle,n
usa,nan,minor cuts to right buttock & thigh,n
yemen,murder,"fatal,  beaten & thrown overboard by smugglers, they  were killed by sharks",y
usa,surfing,punctures & lacerations to right calf & calf,n
australia,surfing,lacerations to 3 fingers of left hand,n
usa,shark fishing,right hand bitten by hooked shark provoked incident,n
australia,swimming,"bruises to arm and hand, laceration to lower leg & minor injuries to foot",n
usa,surfing,lacerations to right forearm & hand,n
new zealand,spearfishing,leg bitten  by shark after he shot at it & missed  provoked incident,n
costa rica,swimming,death due to drowning shark bite may have been postmortem,nan
australia,boogie boarding,lacerations to  lower left leg & ankle,n
new caledonia,spearfishing,survived,n
new caledonia,spearfishing free diving,leg bitten,n
usa,shrimping,"a large shark rammed boat, breaking prop shaft no injury to occupants but boat sank several hours later",n
australia,diving,head & torso bitten,n
australia,swimming,shark involvement prior to death unconfirmed,nan
south africa,swimming  body surfing,"presumed fatal, body not recovered",y
australia,surfing,"no injury, shark damaged surfboard",n
usa,surfing,no injury,nan
usa,surfing,"no injury, shark removed piece of surfboard",n
french polynesia,scuba diving,scratch on face provoked incident,nan
australia,surfing,left leg bitten,n
new zealand,surfing,foot bitten,n
usa,surfing,"minor injuries, surfboard bitten",n
south africa,fishing,"hand, thigh & calf bitten by hooked shark provoked incident",n
australia,body boarding,"right leg severed, left leg lacerated",n
philippines,sea disaster,15 perished but shark involvement prior to death was not confirmed,y
usa,swimming,laceration to left thigh & left hand,n
south africa,canoeing,left arm lacerated when he grabbed shark by its tail provoked incident,n
usa,surfing,"no injury, surfboard bitten",n
usa,fishing,lower right leg and foot bitten,n
usa,surfing,left ankle bitten,n
usa,surfing,lacerations to lower left leg,n
usa,playing soccer in the water,lacerations to foot,n
bahamas,free diving  modeling,puncture wounds to left foot,n
gulf of aden,murder,"fatal,  beaten & thrown overboard by smugglers, they  were killed by sharks",y
south africa,spearfishing,no injury; 4m white shark made a threat display,nan
usa,surfing,big toe bitten,n
usa,diving  kissing the shark,lacerations to upper lip    provoked incident,n
usa,surfing,laceration to left thigh,n
usa,swimming,minor injury to left hand,n
usa,surfing,left torso grazed,n
australia,diving,"killed by a stingray, not a shark - a tragedy for his family and marine wildlife",nan
brazil,nan,fatal,y
usa,standing,puncture wounds and cuts to right thigh,n
usa,swimming,arm bitten,n
south africa,surfing,"no injury, shark rammed surfboard",n
usa,surfing,laceration & puncture wounds to foot,n
australia,surfing,"no injury, shark towed  surfer & board",n
reunion,body boarding,laceration to right calf & heel,n
brazil,nan,shark bites may have been post mortem,nan
belize,spearfishing,shark involvement prior to death not confirmed,nan
italy,sea disaster,fatal,y
reunion,surfing,fatal,y
south africa,surfing,"no injury, surfboard leash severed",n
south africa,lifesaving drill,foot severed,n
usa,wading,lacerations & punctures to left foot,n
reunion,spearfishing,thigh bitten,n
usa,touching sharks,"minor injuries, similar to paper cuts from the captive sharks  provoked incidents",n
usa,surfing,minor injury,n
usa,boogie boarding,"bruises, laceration to head, spinal cord injury & neck broken at c5c6",n
usa,surfing,foot bitten,n
south africa,surf-skiing,"no injury, surf ski bitten",n
usa,surfing,minor lacerations to right foot,n
usa,surf fishing,right foot bitten,n
australia,nan,8 shark-bitten bodies washed ashore,nan
usa,standing,left ankle & foot bitten,n
spain,swimming,hand & wrist severely bitten,nan
usa,swimming,ankle & foot bitten,n
brazil,nan,fatal,y
usa,wading,dorsum of left foot bitten,n
usa,walking,lower leg & ankle bitten,n
usa,body boarding,foot bitten,n
usa,swimming,right calf bitten,n
usa,spearfishing,lacerations & puncture wound  to arm,n
usa,spearfishing,minor injuries,n
usa,body boarding,right calf bitten,n
usa,fishing,non-swimmer pulled off pier& into the water by a hooked shark provoked incident,n
bahamas,spearfishing,right arm severely bitten,n
usa,surfing,2-inch puncture wounds on right foot,n
brazil,body boarding,left thigh bitten fatal,y
usa,scuba diving,"no injury, shark bit scuba tank boot",n
usa,surfing,four 1-inch puncture wounds on left foot,n
usa,playing,lacerations & puncture wounds to left foot & buttocks,n
australia,surfing,"no injury, knocked off surfboard",n
usa,spearfishing,"4"" laceration to left forearm",n
usa,tagging sharks,"no injury to occupants, boat damaged by hooked shark provoked incident",n
usa,surfing,"no injury, shark bumped surfboard",n
usa,spearfishing,knee bitten after diver poked shark provoked incident,n
brazil,surfing,"injuries to left thigh, calf & foot",n
usa,scuba diving,laceration to leg,n
usa,nan,small lacerations to arm,n
usa,swimming,2 lacerations on lower right leg,n
australia,snorkeling,abrasion & 6 puncture wounds on chest after grabbing the shark by its tail provoked incident,n
usa,nan,shark bites post mortem,nan
usa,surfing,feet bitten,n
usa,standing,3 tiny punctures & small lacerations on right ankle,n
usa,fishing,3 to 4 cm laceration on foot from hooked shark brought on board provoked incident,n
australia,surfing,minor laceration to left foot,n
south africa,body boarding,leg bitten,n
brazil,swimming,left leg bitten,n
usa,wading,minor injury to right hand & thigh,n
sierra leone,fishing,reportedly fatal but few details,y
usa,surfing,5 puncture wounds in left calf,n
south africa,swimming,"fatal, but shark involvement prior to death unconfirmed",nan
fiji,surfing,lacerations to right hand,n
australia,surfing,"no injury, shark nudged surfboard",n
usa,standing,deep laceration to right calf,n
usa,free diving,forensic examination suggested diver drowned & afterwards his body was bitten by a sharks,nan
australia,wading,lacerations to foot,n
australia,swimming,puncture wound on arm,n
australia,fishing,no injury to occupants; shark nudged the 53 m boat,n
south africa,surfing,2 bite marks on right calf,n
tonga,swimming,severe bite to right leg fatal,y
usa,kayaking,no injury to occupant; shark bumped the kayak repeatedly for 15 minutes,n
atlantic ocean,competing in the woodvale atlantic rowing race,no injury to occupants; shark rammed boat repeatedly,n
south africa,spearfishing,right arm  bitten,n
atlantic ocean,competing in the woodvale atlantic rowing race,"no injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",n
usa,night surfing,"no injury, but 2 small nicks on wetsuit",n
australia,scuba diving,lacerations to left elbow,n
bahamas,diving for lobsters,"no injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark",nan
australia,swimming,fatal,y
usa,surfing,3 puncture wounds in right wrist & hand,n
south africa,diving for crayfish,lacerations to little finger,n
usa,surfing,lacerations to ankle & calf,n
usa,swimming,left hand bitten,n
atlantic ocean,competing in the woodvale atlantic rowing race,"no injury to occupants, shark rammed boat for 15 minutes",n
australia,spearfishing,right forearm & elbow bitten,n
australia,fishing,"no injury to occupants, hydrofoil of outboard motor bitten",n
usa,surfing,left foot bitten,n
