country,activity,injury,fatal
usa,surfing,minor injury shark bit surfboard,n
australia,swimming,minor injury shark bit surfboard,n
usa,swimming,body not recovered,y
usa,swimming,non-lifethreatening injuries,n
egypt,swimming,"left arm severely bitten, surgically amputated",n
usa,surfing,llacerations to face and chin,n
usa,surfing,bite to lower back,n
philippines,fishing,laceration to left thigh,m
coral sea,on a round-the-world expedition,catamaran severely damaged by sharks no injurty to the 3 men onboard,n
usa,surfing,left hand bitten,n
usa,wading,right foot bitten,n
australia,surfing,severe injuries to lower limbs,nan
usa,wading,minor injury to shoulder,n
usa,kayak fishing,"shark bit kayak, no injury to occupant",n
bahamas,nan,body found with shark bites possible drowning cause of death unknown,nan
spain,wading,minor lacerations to right foot,n
portugal,fishing,leg bitten,n
samoa,towing a dead whale out to sea,fatal,y
usa,wading,laceration to left posterior thigh,n
usa,surfing,ankle injured,n
usa,spearfishing,lower leg bitten,n
usa,swimming,superficial injuries to abomen and thighs,n
australia,surfing,laceration to leg,n
australia,snorkeling,lower left leg bitten,n
usa,boogie boarding,right foot injured,n
colombia,freediving,"lower right leg bittenla patria, 7202023w",n
usa,sitting,superficial injury to back,n
usa,surfing,severe injury to foot,n
south africa,watching the sardine run,"no injury to occupants, shark defated boat",n
ecuador,snorkeling,serious injury to right leg,n
usa,standing,puncture wounds to thigh,n
usa,swimming,injury to right hand,n
usa,swimming,laceration to right knee,n
usa,surfing,injury to left heel and toes,n
usa,swimming,3 small puncture wounds to left leg,n
usa,swimming,multiple puncture wounds to right thigh,n
usa,fishing,hand bitten,n
usa,filming,sharks bit their inflatable boats,n
egypt,swimming,fatal,y
bahamas,scuba diving,calf severely bitten,nan
french polynesia,kite surfing,buttock bitten,n
new caledonia,spearfishing,"fatal, bite to leg, shoulder and head",y
turks and caicos,snorkeling,left foot severed,n
bahamas,jumped overboard,"presumed fatal, body not recovered",y
usa,shark feeding,bitten on hand minor injury,n
usa,surfing,lacerations to left foot and calf,n
usa,fishing,provoked incident   hooked shark bit his foot,n
usa,spearfishing,,n
usa,swimming,minor inuries to right knee,n
australia,surfing,fatal,y
usa,sitting,multiple bites,n
usa,kayak fishing,"shark bit kayak, no inury to occupant",n
cuba,spearfishing,fatal,y
usa,spearfishing,injury to lower leg,n
south africa,surfing,leg injured,n
south africa,diving for crayfish,shoulder injured,n
australia,swimming,minor injuries,n
australia,snorkeling,cuts to leg,n
usa,spearfishing,minor injury to lower right leg,n
australia,surfing,bite to right arm,n
usa,windsurfing,lacerations to leg,n
usa,kayak fishing,"no injury, kayak damaged",n
usa,surfing,injuries to right foot,n
usa,kite-surfing,lacertions to right calf,n
cuba,fishing,arm bitten,n
australia,wading,lower left leg and foot injured,n
usa,swimming,left hand and  left leg,n
mexico,swimming,significant  injury to leg,n
australia,surf-sking,nan,n
brazil,swimming,left arm severly injured,n
brazil,swimming,right thigh bitten resulting in surgical amputation,n
seychelles,snorkeling,left foot bitten,nan
brazil,surfing,injuries to left thih and calf,n
new caledonia,swimming,"fatal, multiple injuries",f
usa,surfing,injury to lower leg,n
argentina,nan,death by misadventure,nan
fiji,spearfishing,questionable,n
australia,swimming,fatal,y
australia,fishing,minor injury to chest,n
new caledonia,swimming,"hands, back and thigh inujured",n
usa,swimming,lacerations to leg,n
mexico,diving with  surface-supplied air,fatal,y
usa,spearishing,knocked spear out of his hands and fin bitten,n
maldives,snorkeling at shark feeding site,minor injury to shoulder and back,n
south africa,divingshark feeding,hamd bitten,n
usa,swimming,"lower left torso, defensive wounds to hands",n
australia,swimming,lower legh bitten,n
usa,diving,left leg bitten,n
usa,snorkeling,fatal attack,y
usa,surfing,foot bitten,n
usa,swimming,foot bitten,n
usa,swimming,shallow punctures & lacerations to right thigh,n
usa,fishing,right knee & thigh bitten by hooked shark,n
usa,surfing,minor inury from shark's fin,n
usa,fishing,minor injuries to hands,n
bahamas,diving,torso bitten,n
usa,fishing,minor injuries,n
usa,snorkeling,"no injury, swim fin bitten",n
australia,surf skiing,"no injury, ski holed by shark",n
usa,fishing,minor injury to leg by hooked shark,n
usa,shipwreck,hand bitten,n
australia,spearfishing,"multiple injuries to left shoulder, arm and hand",n
australia,surfing,lacerations to foot,n
usa,surfing,thigh injured,n
south africa,swimming,fatal,y
usa,spearfishing,severe injuries to right arm,n
bahamas,snorkeling,fatal,y
usa,swimming  or snorkeling,injuries to left arm and right hand,n
australia,surfing,puncture wounds to right hand & forearm,n
australia,kayaking,"no injury, kayak bitten in half",n
usa,swimming,minor injury to leg,n
usa,standing,multiple llacerations to right forearm,n
australia,spearfishing,lacerations to lower legs,n
usa,snorkeling,"lower left leg severely bitten, necessitating surgical amputation",n
usa,paddleboarding,"no injury, board bitten",n
england,snorkeling,minor injury to leg,n
usa,lobstering,injury to upper lip,n
usa,wading,minor bite to left  foot,n
usa,surfing,four-inch cut to right foot,n
usa,nan,minor injuries,n
usa,surfing,lacerations to lower leg,n
usa,fishing,fingrt bitten while releasing hooked shark provoked incudebt,n
usa,nan,minor lacerations to left calf,n
usa,nan,left wrist and buttocks bitten,n
usa,surfing,two-inch laceration to leg,n
usa,surfing,minor injury to foot,n
usa,lifeguard training exercise,minor injury to foot,n
japan,snorkeling,fatal,y
usa,surfing,foot bitten,n
usa,lifeguard exercises,injuries to chest and right hand,n
indonesia,surfing,lacerations to foot,n
egypt,snorkeling,fatal,y
egypt,swimming,fatal,y
usa,swimming,injury to right foot,n
usa,scalloping,severe bites to leg,n
usa,swimming,laceration to leg,n
usa,jumped into water,laceration to leg,n
south africa,swimming,fatal,y
jamaica,fishing,right arm severed,n
usa,nan,leg bitten,n
usa,swimming,stomach and leg injuries including a broken femur,n
usa,nan,nan,n
australia,swimming,minor injury,n
australia,surfing,knocked off board by a  shark   no injury,n
australia,diving,no injury,n
belize,spearfishing,right hand and forearm bitten provoked incident,n
maldives,fishing,right cakf bitten when he fell overboard,n
french polynesia,nan,hand bitten,n
usa,fishing,thumb bitten by hooked shark provoked incident,n
thailand,playing in the water,laceration to left calf,n
french polynesia,nan,cut to knee,n
australia,paddleboarding,"no injury, knocked off board by shark chasing a turtle",n
usa,nan,laceration to lower leg,n
usa,swimming,bite to right foot,n
usa,standing,bite near big toe,n
usa,feeding sharks & stingrays,finger nipped by captive shark provoked incident,n
usa,kayaking,no injury to occupants kayak bitten,n
south africa,nan,possible drowing and scavenging,m
usa,fishing,knee bitten                    provoked incident,n
columbia,swimming,fatal,y
new zealand,surfing,"no injury, shark leapt on surfboard",n
australia,surfing,lacerations and punctures to leg and foot,n
australia,swimming,nan,n
usa,surfing,bite to right foot,n
usa,fishing,minor injuries to knee and calf of left leg                            provoked incident,n
australia,surfing,"no injury, board bitten",n
usa,boogie boarding,fatal,y
bahamas,diving,arm bitten,n
australia,fihing,lacerations to left thigh,n
australia,swimming,fatal,y
mexico,surface supplied  diving,fatal,y
usa,surfing,puncture wounds to foot,n
bahamas,nan,minor injury,n
costa rica,diving,right forearm and left hand injured,nan
australia,floating in inflatable pool ring,torso bitten,n
australia,swimming,foot bitten,n
australia,snorkeling,"knees, ankles & feet bitten",n
south africa,fishing for sharks,"provoked incident               no injury to occupants, shark bit ski",n
new zealand,swimming,puncture wounds,n
usa,wing foil surfing,punctures to leg,n
australia,nan,minor lacerations to lower thigh,n
australia,surfing,"no injury, knocked off board",n
new zealand,swimming,laceration to big toe,n
usa,boogie boarding,fatal bite to chest,y
usa,wing foil surfing,punctures to leg,n
australia,spearfishing,laceration to leg,n
mexico,diving,lacerations,n
australia,swimmingq,lacerations to right calf and hand,n
australia,swimming,lacerations to back,n
usa,surfing,arm bitten,n
brazil,playing,minor cuts to left thigh,nan
usa,spearfishing,leg bitten,n
australia,swimming,fatal,y
brazil,swimming,laceration to lower right leg,n
new zealand,surfing,fingers lacerated,n
australia,spearfishing,disappeared,nan
australia,swimming,lacerations and puncture to left leg,n
usa,surfing,`left foot bitten,n
usa,swimming,injury to lower left leg,n
usa,surfing,injury to posterior left thigh,n
egypt,swimming,laceration to arm caused by metal object,nan
usa,surfing,minor injury to right arm,n
australia,surfing,fatal,y
british overseas territory,nan,wrist bitten,n
usa,"fishing, fell in water",severe injury to leg,n
usa,boogie boarding,lacerations both sides of lower leg immediately above the ankle,n
usa,surfing,left ankle and foot bitten,n
canada,swimming,thigh injured,n
australia,harassing sharks,"no injury, jet ski bitten provoked incident",n
usa,surfing,minor cuts to right foot and ankle,n
usa,snorkeling,lacerations to legs,n
usa,nan,lacerations to lower body,n
usa,swimming,lacerations and puncture wounds to lower left leg,n
